t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -5.80453e-015 -8.76721e-015 -4.18859e-014 9.24446e-015 -5.58882e-014 -9.29872e-015 -1.86272e-014 -7.91434e-018 2.79668e-014 4.66728e-015 -4.66274e-014 2.79723e-014 -1.49191e-013 2.33094e-014 -7.45747e-014 1.16567e-013 2.79814e-014 -1.85371e-014 6.04444e-014 3.71046e-014 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.396597 0.397013 -0.0819861 -0.0795159 0.0340771 0.932361 0.930858 1.25242 1.22653 1.2281 1.19189 1.07282 1.07262 0.993152 0.820147 0.815291 0.721276 0.51999 0.519737 0.416283 0.965599 0.0383215 0.973752 0.969471 0.0756989 0.0482262 0.972344 0.037524 0.97395 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.0240013 0.0157701 0.0235013 0.0154416 0.0230012 0.015113 0.0225012 0.0147845 0.0220012 0.0144559 0.0215012 0.0141274 0.245062 0.246491 0.239227 0.240236 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.36645 1.36925 -0.108383 -0.113946 0.292289 3.10552 3.11601 4.10533 4.05178 4.06464 3.96419 3.59516 3.59073 3.33021 2.77038 2.74215 2.43191 1.75967 1.75843 1.40963 0.913414 0.0421155 0.929778 0.924095 0.0766291 0.0510999 0.937443 0.0412778 0.940933 0.944483 0.0506135 0.0598758 0.948749 0.0571716 0.940931 0.927045 0.0484733 0.0696735 0.940925 0.0749404 0.912685 0.921545 0.0788056 0.0507764 0.928001 0.0551007 0.917642 0.924209 0.0734235 0.0716115 0.905425 0.0782306 0.934165 0.937137 0.0421074 0.0517139 0.0639302 0.046411 0.0625984 0.0454441 0.0612665 0.0444772 0.0599346 0.0435103 0.0586027 0.0425434 0.0572708 0.0415765 0.357517 0.361268 0.349005 0.351851 0.340493 0.342473 0.335887 0.336593 0.327274 0.328117 0.318662 0.319632 0.312063 0.310377 0.303395 0.300197 0.294726 0.290106 0.284766 0.278988 0.276137 0.271498 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.49561 2.50363 0.0957957 0.0374825 0.78608 5.47747 5.54667 7.18916 7.15787 7.20153 7.0567 6.4192 6.39892 5.92114 4.928 4.84755 4.29 3.08503 3.08051 2.45864 0.824335 0.0459243 0.846789 0.849103 0.0774191 0.0537574 0.893821 0.0450556 0.900831 0.915064 0.0532982 0.0615039 0.9187 0.0599543 0.91014 0.894349 0.0523925 0.0724905 0.904896 0.0760194 0.873212 0.878939 0.081807 0.0555289 0.879901 0.0597178 0.867599 0.869638 0.0756869 0.0735163 0.841902 0.0789048 0.876715 0.877227 0.0460311 0.054515 0.122346 0.0975026 0.119797 0.0954713 0.117248 0.09344 0.114699 0.0914087 0.11215 0.0893774 0.109601 0.0873461 0.415104 0.421964 0.405221 0.411228 0.395337 0.400526 0.398121 0.399686 0.387913 0.390495 0.377704 0.381248 0.372363 0.36971 0.36202 0.357064 0.351676 0.344554 0.338537 0.329583 0.328279 0.320815 0.31802 0.311971 0.303379 0.30032 0.293266 0.291068 0.283154 0.281765 0.266349 0.273958 0.256484 0.264086 0.24662 0.254193
0.17 3.50543 3.51835 0.605355 0.427597 1.4634 7.35787 7.53957 9.63959 9.78382 9.89198 9.77062 8.91819 8.86434 8.17457 6.79355 6.63241 5.84247 4.1532 4.14192 3.28171 0.721576 0.0496285 0.73909 0.76478 0.0780072 0.0559928 0.856359 0.0488921 0.869455 0.899159 0.0559011 0.062981 0.901639 0.062764 0.895768 0.881073 0.0562613 0.0753143 0.883416 0.0772977 0.855833 0.853223 0.0847394 0.0602495 0.843464 0.0639392 0.830766 0.822287 0.0780112 0.0755962 0.785076 0.0797168 0.81554 0.807809 0.0497661 0.0571837 0.183074 0.158162 0.17926 0.154867 0.175446 0.151572 0.171632 0.148277 0.167818 0.144982 0.164004 0.141687 0.431637 0.440374 0.42136 0.431159 0.411083 0.421883 0.431035 0.434177 0.419983 0.42605 0.408931 0.417765 0.407915 0.404911 0.396584 0.390766 0.385253 0.376785 0.369281 0.358547 0.358091 0.348523 0.3469 0.338447 0.327608 0.323702 0.316688 0.313079 0.305767 0.302444 0.283531 0.29295 0.27303 0.281985 0.262529 0.27103
0.21 4.24569 4.25746 1.33547 1.00389 2.20263 8.45302 8.74638 11.0968 11.6651 11.8896 11.8917 10.9127 10.8099 9.93727 8.2477 7.98606 6.99102 4.89476 4.87261 3.82331 0.640383 0.0531095 0.64371 0.698611 0.0785537 0.057765 0.831065 0.0528419 0.852155 0.896787 0.0583943 0.0642544 0.89986 0.0657123 0.898607 0.886698 0.0600687 0.0781067 0.881202 0.0788649 0.860135 0.847948 0.0875808 0.0649518 0.827095 0.0677871 0.813761 0.792278 0.0804151 0.0779354 0.745981 0.0804043 0.765414 0.745824 0.0534161 0.059926 0.232845 0.21479 0.227994 0.210315 0.223143 0.205841 0.218292 0.201366 0.213441 0.196891 0.20859 0.192416 0.423416 0.430942 0.413334 0.426145 0.403253 0.421081 0.44687 0.452506 0.435412 0.446658 0.423953 0.440507 0.43003 0.427535 0.418085 0.412619 0.40614 0.397877 0.388028 0.377126 0.37627 0.365533 0.364511 0.353951 0.339999 0.33547 0.328666 0.323163 0.317332 0.310933 0.28865 0.298013 0.277959 0.285896 0.267268 0.273861
0.25 4.69276 4.69411 2.11393 1.65687 2.88565 8.83571 9.16788 11.6267 12.8434 13.2456 13.4638 12.4487 12.2917 11.276 9.36058 8.98758 7.81328 5.38146 5.34193 4.14373 0.592859 0.0563304 0.580834 0.659348 0.079244 0.0592188 0.81469 0.0569258 0.843623 0.900531 0.0607781 0.065363 0.906858 0.0688727 0.910696 0.902448 0.0638264 0.0808732 0.892095 0.0807606 0.876768 0.856678 0.0903999 0.0696765 0.827405 0.0713198 0.812448 0.778328 0.0829676 0.0806139 0.723999 0.0809077 0.730804 0.699055 0.0570757 0.0628858 0.268639 0.261648 0.263042 0.256197 0.257445 0.250746 0.251849 0.245295 0.246252 0.239844 0.240655 0.234393 0.405598 0.409074 0.395941 0.410227 0.386284 0.41085 0.453533 0.462382 0.441904 0.459341 0.430275 0.455837 0.445361 0.444104 0.43299 0.428934 0.420619 0.413926 0.401489 0.39149 0.389322 0.37811 0.377156 0.364825 0.347386 0.342257 0.335806 0.327937 0.324227 0.313818 0.288279 0.295931 0.277602 0.282458 0.266925 0.269179
0.29 4.91626 4.89806 2.80312 2.30137 3.46326 8.78249 9.03713 11.5262 13.4854 14.1189 14.6087 13.6311 13.4294 12.3127 10.2443 9.75606 8.42456 5.71738 5.64889 4.32798 0.572232 0.0593282 0.548221 0.641254 0.0801636 0.0605395 0.802629 0.0611189 0.83721 0.904604 0.0630749 0.0663724 0.916284 0.0722703 0.925021 0.920728 0.0675456 0.0836248 0.908503 0.0829839 0.897487 0.872224 0.0932731 0.0744493 0.837937 0.074606 0.820596 0.775437 0.0857299 0.0836716 0.714453 0.0812904 0.709456 0.666895 0.0607997 0.0661192 0.292444 0.298575 0.286351 0.292355 0.280259 0.286134 0.274166 0.279914 0.268073 0.273694 0.261981 0.267473 0.387788 0.3858 0.378555 0.392887 0.369322 0.39918 0.455307 0.467543 0.443633 0.467425 0.431958 0.466683 0.457036 0.457491 0.44434 0.442426 0.431645 0.427497 0.412802 0.404189 0.400293 0.389046 0.387784 0.374084 0.353358 0.347511 0.34158 0.330998 0.329801 0.314825 0.286214 0.291095 0.275614 0.276124 0.265013 0.261475
0.33 5.01176 4.96655 3.33661 2.89652 3.94 8.5782 8.6307 11.1114 13.7668 14.662 15.4386 14.5491 14.3282 13.1495 10.9853 10.3844 8.91518 5.98545 5.87068 4.44223 0.567964 0.0621675 0.53688 0.636097 0.0813135 0.0618633 0.792692 0.0653651 0.829215 0.906653 0.0653265 0.0673425 0.924816 0.0758975 0.938057 0.937497 0.0712305 0.0863696 0.925403 0.0855177 0.917611 0.889845 0.0962476 0.0792686 0.853537 0.0777139 0.833571 0.779299 0.0887354 0.0871109 0.713166 0.0816406 0.697672 0.645924 0.064617 0.0696357 0.307326 0.327325 0.300923 0.320506 0.294521 0.313687 0.288118 0.306867 0.281715 0.300048 0.275313 0.293229 0.374177 0.366749 0.365268 0.378735 0.356359 0.38971 0.454398 0.469501 0.442747 0.472302 0.431095 0.474321 0.466316 0.468733 0.453363 0.454007 0.440409 0.439378 0.423037 0.415923 0.410218 0.399247 0.397399 0.382826 0.359409 0.352701 0.347428 0.33398 0.335448 0.315739 0.284337 0.285918 0.273806 0.269403 0.263275 0.253343
0.37 5.05451 4.9775 3.70354 3.43189 4.34049 8.40971 8.15555 10.6069 13.8275 14.983 16.0342 15.2622 15.0607 13.8527 11.6315 10.9282 9.33939 6.23552 6.05332 4.52578 0.571731 0.0649174 0.538888 0.637899 0.0826428 0.0632622 0.784811 0.0695913 0.818677 0.906373 0.067592 0.0683286 0.931393 0.0797289 0.9487 0.951321 0.0748802 0.0891151 0.940379 0.0883406 0.935148 0.907027 0.0993412 0.0841141 0.870927 0.0807079 0.848568 0.787098 0.0919921 0.0909087 0.717352 0.0820283 0.692411 0.632857 0.0685464 0.0734324 0.31597 0.349852 0.309387 0.342563 0.302805 0.335275 0.296222 0.327986 0.289639 0.320698 0.283056 0.313409 0.365565 0.353814 0.356861 0.369212 0.348157 0.383448 0.452113 0.468894 0.44052 0.474627 0.428928 0.479425 0.473717 0.478183 0.460558 0.463918 0.447399 0.44971 0.432357 0.426682 0.419255 0.408825 0.406153 0.391275 0.365929 0.358281 0.353732 0.337468 0.341534 0.317267 0.28344 0.281532 0.272943 0.263502 0.262445 0.246057
0.41 5.08679 4.97782 3.92322 3.91075 4.68942 8.35441 7.72853 10.1343 13.7698 15.1482 16.4492 15.8091 15.6727 14.4606 12.2031 11.4151 9.7241 6.49053 6.21932 4.5977 0.578217 0.0676454 0.548695 0.643237 0.0840743 0.0647551 0.779669 0.073718 0.806203 0.904246 0.0699431 0.0693886 0.936033 0.0837322 0.956953 0.962097 0.0784939 0.0918704 0.952654 0.0914294 0.949579 0.922621 0.102554 0.0889592 0.88818 0.0836479 0.864004 0.797117 0.0954896 0.0950259 0.725269 0.0824985 0.691547 0.625239 0.0726053 0.077508 0.320371 0.367785 0.313696 0.360123 0.307022 0.35246 0.300348 0.344798 0.293673 0.337136 0.286999 0.329474 0.361146 0.3469 0.352547 0.364174 0.343949 0.380203 0.449414 0.466169 0.437891 0.474872 0.426367 0.482487 0.479525 0.486017 0.466205 0.472251 0.452885 0.4585 0.440658 0.436306 0.427305 0.417651 0.413952 0.399335 0.372826 0.364255 0.360398 0.341555 0.347971 0.319583 0.283765 0.27835 0.273255 0.258876 0.262745 0.240106
0.45 5.12471 4.99005 4.02602 4.34033 5.005 8.41461 7.40033 9.74396 13.6669 15.197 16.7198 16.2177 16.1922 14.9945 12.7049 11.857 10.0802 6.75604 6.37754 4.66538 0.584494 0.0704133 0.56269 0.65041 0.0855236 0.0663249 0.777695 0.0776735 0.793076 0.900951 0.0724511 0.0705826 0.939139 0.0878728 0.963177 0.970244 0.0820733 0.0946455 0.962283 0.0947597 0.961057 0.93621 0.105878 0.0937799 0.904225 0.0865873 0.878994 0.808297 0.0992053 0.0994141 0.735751 0.0830766 0.693637 0.621351 0.0768113 0.0818668 0.321916 0.38237 0.315209 0.374404 0.308503 0.366438 0.301796 0.358472 0.29509 0.350506 0.288383 0.34254 0.359614 0.345053 0.351052 0.362863 0.34249 0.379403 0.447043 0.461836 0.43558 0.473512 0.424117 0.48395 0.483984 0.492399 0.47054 0.479112 0.457096 0.465802 0.447844 0.444683 0.434273 0.425587 0.420702 0.406843 0.379835 0.370459 0.367174 0.346128 0.354513 0.322624 0.285288 0.27642 0.274722 0.255586 0.264156 0.235567
